作答ID,开始时间,结束时间,作答总时长(秒),作答渠道,省份,城市,设备类型,操作系统类型,浏览器类型,质检结果,你的身份是？,请选择你的年龄段,你使用 AI 工具(ChatGPT、Claude、豆包、Kimi、DeepSeek 等)的情况是?,你平时使用本地生活类 App 的频率如何？例如美团、大众点评、高德、小红书等。,你在哪类本地生活选择中最容易纠结？,在这类最容易纠结的选择中，你通常的状态更接近哪一种？,"如果有一个 AI 本地生活管家(能帮你做吃饭、出行、约饭、周末等本地生活决策),最接近你的真实反应是?",你更希望 AI 管家以哪种方式工作？,你平均多久会和朋友 / 同学 / 同事进行一次线下约饭、聚会或一起出行？,你是否经常遇到“和朋友约饭 / 聚会很难定下来”的情况？,"如果下次约饭遇到分歧,你最可能怎么做?",在多人决策中，你更希望 AI 怎么推荐？,AI 生成多人方案后，你是否希望它说明“照顾了谁的偏好、牺牲了什么”？,如果AI 在推荐前自动检查以下内容，你觉得最看重/最不看重哪一项？-最看重,如果AI 在推荐前自动检查以下内容，你觉得最看重/最不看重哪一项？-最不看重,如果 AI 发现推荐方案不满足你的条件，你希望它优先怎么做？,为保证问卷质量，本题请选择特定选项,你是否希望 AI 管家记住你的个人长期偏好？例如不吃辣、预算、人均消费、常去区域等,关于 AI 记录朋友 / 同事 / 小团体偏好，你更能接受哪种方式？,"请你回想最近一次""做本地生活决策很累""的经历,可能是吃饭、约人、规划周末或别的事。请用 1-2 句话描述这件事",school_work_status,school_work_rule
Q4wK6PEOP0B,2026-05-08 16:01:15,2026-05-08 16:04:12,177,数据集市,安徽省,芜湖市,MOBILE,iOS,Apple WebKit,正常,B. 本科生,23-26 岁,"B.每天日常使用,主要用来聊天、查资料、问问题",A. 几乎每天使用,C. 周末去哪玩 / citywalk / 看展,B. 需要比较多个 App 或问朋友后才能决定,B. 看到后会试试，但如果不好用会很快放弃,B. 它可以在合适时间主动提醒我,B. 每周 1-2 次,B. 有时,B. 继续在群里讨论，由大家慢慢决定,B. 给 2-3 个方案，让大家选,B. 比较希望，但简单说明即可,是否有人的需求被明显牺牲,是否太远,A. 自动重新生成更符合条件的方案,满意,B. 比较希望,C. 可以记录，但我希望能随时查看、修改或删除,规划周末去哪玩。很纠结，最后哪也没去成,边界模糊-剔除,23-26 岁 + 专科/本科生
XO2KQ6yGD3G,2026-05-08 15:56:17,2026-05-08 16:03:55,458,数据集市,浙江省,温州市,MOBILE,Android,Chrome,正常,B. 本科生,30 岁以上,"A.每天高强度使用,工作/学习深度依赖 AI(比如用 AI 写代码、写文档、做研究)",B. 每周 3-5 次,D. 怎么安排本地路线 / 活动顺序,B. 需要比较多个 App 或问朋友后才能决定,A. 会主动尝试，即使需要花时间适应新工具,B. 它可以在合适时间主动提醒我,B. 每周 1-2 次,B. 有时,A. 尝试用 AI 生成折中方案，看效果再决定是否继续用,B. 给 2-3 个方案，让大家选,A. 非常希望，这能帮助大家理解和达成共识,是否超预算,是否排队太久,A. 自动重新生成更符合条件的方案,满意,B. 比较希望,A. 可以记录我和朋友 / 同事的偏好，只要能提高决策效率,想找个地方随便吃点，结果刷半天点评软件，要么排队久要么评价踩雷，越选越烦，最后干脆点了外卖,已工作,27-30 岁/30 岁以上 + 专科/本科生/研究生，按学历回答推断为已工作
nNV3E5Yyx8N,2026-05-08 15:54:18,2026-05-08 16:03:45,567,数据集市,河北省,唐山市,MOBILE,Android,Chrome,正常,F. 已工作 3 年以上,27-30 岁,"B.每天日常使用,主要用来聊天、查资料、问问题",A. 几乎每天使用,A. 一个人吃什么/点什么外卖,A. 偶尔纠结，但通常能较快决定,B. 看到后会试试，但如果不好用会很快放弃,A. 我问它，它再回答,C. 每月 1-3 次,B. 有时,A. 尝试用 AI 生成折中方案，看效果再决定是否继续用,B. 给 2-3 个方案，让大家选,A. 非常希望，这能帮助大家理解和达成共识,是否超预算,是否排队太久,A. 自动重新生成更符合条件的方案,满意,A. 非常希望,A. 可以记录我和朋友 / 同事的偏好，只要能提高决策效率,周末想和朋友找一家兼具性价比和安静环境的新餐厅聚餐，翻了好几款APP翻了上百条评价，一会纠结评分真假一会担心位置太远，选了快一个小时还没确定想去的店，感觉特别累,已工作,明确选择已工作 1-3 年/3 年以上
Q4wK6jvgERQ,2026-05-08 15:54:17,2026-05-08 16:03:42,565,数据集市,辽宁省,沈阳市,MOBILE,Android,Chrome,正常,F. 已工作 3 年以上,30 岁以上,D.偶尔使用，一个月几次,A. 几乎每天使用,E. 我基本不纠结,,B. 看到后会试试，但如果不好用会很快放弃,C. 两者都可以，但主动提醒不能太频繁,C. 每月 1-3 次,C. 很少,A. 尝试用 AI 生成折中方案，看效果再决定是否继续用,A. 直接给一个最优方案,C. 无所谓，有没有都可以,是否有人的需求被明显牺牲,是否太远,A. 自动重新生成更符合条件的方案,满意,A. 非常希望,C. 可以记录，但我希望能随时查看、修改或删除,已经计划好周末出游行程，约好的朋友临时爽约，出游计划停摆。,已工作,明确选择已工作 1-3 年/3 年以上
bNxKj93RWRl,2026-05-08 15:57:36,2026-05-08 16:03:30,354,数据集市,江西省,南昌市,MOBILE,Android,Chrome,正常,B. 本科生,27-30 岁,"B.每天日常使用,主要用来聊天、查资料、问问题",A. 几乎每天使用,B. 和朋友约饭 / 聚会地点,A. 偶尔纠结，但通常能较快决定,A. 会主动尝试，即使需要花时间适应新工具,C. 两者都可以，但主动提醒不能太频繁,B. 每周 1-2 次,B. 有时,A. 尝试用 AI 生成折中方案，看效果再决定是否继续用,C. 先指出大家的冲突，再给折中方案,A. 非常希望，这能帮助大家理解和达成共识,是否排队太久,是否超预算,C. 直接告诉我哪里不满足，由我决定是否调整,满意,A. 非常希望,B. 可以记录，但需要每个人自己填写或确认后才能使用,,已工作,27-30 岁/30 岁以上 + 专科/本科生/研究生，按学历回答推断为已工作
mnGXE0p3Wag,2026-05-08 15:57:36,2026-05-08 16:03:30,354,数据集市,江西省,南昌市,MOBILE,Android,Chrome,正常,B. 本科生,27-30 岁,"B.每天日常使用,主要用来聊天、查资料、问问题",A. 几乎每天使用,B. 和朋友约饭 / 聚会地点,A. 偶尔纠结，但通常能较快决定,A. 会主动尝试，即使需要花时间适应新工具,C. 两者都可以，但主动提醒不能太频繁,B. 每周 1-2 次,B. 有时,A. 尝试用 AI 生成折中方案，看效果再决定是否继续用,C. 先指出大家的冲突，再给折中方案,A. 非常希望，这能帮助大家理解和达成共识,是否排队太久,是否太远,C. 直接告诉我哪里不满足，由我决定是否调整,满意,A. 非常希望,B. 可以记录，但需要每个人自己填写或确认后才能使用,,已工作,27-30 岁/30 岁以上 + 专科/本科生/研究生，按学历回答推断为已工作
mnGXE03gzJd,2026-05-08 15:57:36,2026-05-08 16:03:29,353,数据集市,江西省,南昌市,MOBILE,iOS,Apple WebKit,正常,B. 本科生,23-26 岁,"B.每天日常使用,主要用来聊天、查资料、问问题",A. 几乎每天使用,B. 和朋友约饭 / 聚会地点,A. 偶尔纠结，但通常能较快决定,A. 会主动尝试，即使需要花时间适应新工具,C. 两者都可以，但主动提醒不能太频繁,B. 每周 1-2 次,B. 有时,A. 尝试用 AI 生成折中方案，看效果再决定是否继续用,C. 先指出大家的冲突，再给折中方案,A. 非常希望，这能帮助大家理解和达成共识,是否排队太久,是否超预算,C. 直接告诉我哪里不满足，由我决定是否调整,满意,A. 非常希望,B. 可以记录，但需要每个人自己填写或确认后才能使用,,边界模糊-剔除,23-26 岁 + 专科/本科生
NRYKxnYmDQq,2026-05-08 15:54:16,2026-05-08 16:03:21,545,数据集市,广东省,云浮市,MOBILE,Android,Chrome,正常,A. 专科,30 岁以上,"B.每天日常使用,主要用来聊天、查资料、问问题",D. 偶尔使用,E. 我基本不纠结,,D. 不会主动找，但如果嵌在美团、微信等常用 App 里，会顺手使用,B. 它可以在合适时间主动提醒我,B. 每周 1-2 次,C. 很少,A. 尝试用 AI 生成折中方案，看效果再决定是否继续用,B. 给 2-3 个方案，让大家选,A. 非常希望，这能帮助大家理解和达成共识,是否营业,是否排队太久,D. 给出几个不完美但可选的备选方案,满意,B. 比较希望,A. 可以记录我和朋友 / 同事的偏好，只要能提高决策效率,说好的周末一起外出游玩，结果计划没实施，落空了,已工作,27-30 岁/30 岁以上 + 专科/本科生/研究生，按学历回答推断为已工作
WPgKkW1GK1P,2026-05-08 15:57:24,2026-05-08 16:03:12,348,数据集市,山东省,聊城市,MOBILE,Android,Chrome,正常,F. 已工作 3 年以上,30 岁以上,"B.每天日常使用,主要用来聊天、查资料、问问题",B. 每周 3-5 次,D. 怎么安排本地路线 / 活动顺序,B. 需要比较多个 App 或问朋友后才能决定,A. 会主动尝试，即使需要花时间适应新工具,A. 我问它，它再回答,B. 每周 1-2 次,B. 有时,A. 尝试用 AI 生成折中方案，看效果再决定是否继续用,A. 直接给一个最优方案,A. 非常希望，这能帮助大家理解和达成共识,是否超预算,是否排队太久,A. 自动重新生成更符合条件的方案,满意,B. 比较希望,B. 可以记录，但需要每个人自己填写或确认后才能使用,周末和朋友约饭 要同时协调大家的时间 口味偏好和交通距离 反复沟通了半天也定不下来 感觉特别累,已工作,明确选择已工作 1-3 年/3 年以上
lxEYBOnBarq,2026-05-08 15:54:34,2026-05-08 16:03:07,513,数据集市,广东省,肇庆市,MOBILE,Android,Chrome,正常,B. 本科生,30 岁以上,"B.每天日常使用,主要用来聊天、查资料、问问题",A. 几乎每天使用,E. 我基本不纠结,,A. 会主动尝试，即使需要花时间适应新工具,C. 两者都可以，但主动提醒不能太频繁,A. 每周 3 次及以上,C. 很少,A. 尝试用 AI 生成折中方案，看效果再决定是否继续用,B. 给 2-3 个方案，让大家选,B. 比较希望，但简单说明即可,是否太远,是否有人的需求被明显牺牲,A. 自动重新生成更符合条件的方案,满意,B. 比较希望,C. 可以记录，但我希望能随时查看、修改或删除,周末想和朋友聚餐，反复对比多家餐厅的评分，距离和口碑，纠结很久难以决定,已工作,27-30 岁/30 岁以上 + 专科/本科生/研究生，按学历回答推断为已工作
oBowEOgxzN6,2026-05-08 15:59:09,2026-05-08 16:03:01,232,数据集市,贵州省,遵义市,MOBILE,Android,Chrome,正常,F. 已工作 3 年以上,23-26 岁,"B.每天日常使用,主要用来聊天、查资料、问问题",A. 几乎每天使用,B. 和朋友约饭 / 聚会地点,A. 偶尔纠结，但通常能较快决定,A. 会主动尝试，即使需要花时间适应新工具,C. 两者都可以，但主动提醒不能太频繁,B. 每周 1-2 次,B. 有时,A. 尝试用 AI 生成折中方案，看效果再决定是否继续用,B. 给 2-3 个方案，让大家选,B. 比较希望，但简单说明即可,是否超预算,是否太远,B. 主动追问缺失信息后再修改,满意,B. 比较希望,A. 可以记录我和朋友 / 同事的偏好，只要能提高决策效率,纠结半天不知道周末去哪里游玩，反复对比多个地点和出行方案，做决定时十分耗费精力,已工作,明确选择已工作 1-3 年/3 年以上
NRYKxJPbpmm,2026-05-08 15:54:21,2026-05-08 16:02:54,513,数据集市,河北省,邯郸市,MOBILE,Android,Chrome,正常,C. 研究生,30 岁以上,"A.每天高强度使用,工作/学习深度依赖 AI(比如用 AI 写代码、写文档、做研究)",B. 每周 3-5 次,C. 周末去哪玩 / citywalk / 看展,A. 偶尔纠结，但通常能较快决定,A. 会主动尝试，即使需要花时间适应新工具,B. 它可以在合适时间主动提醒我,B. 每周 1-2 次,C. 很少,A. 尝试用 AI 生成折中方案，看效果再决定是否继续用,C. 先指出大家的冲突，再给折中方案,A. 非常希望，这能帮助大家理解和达成共识,是否太远,是否超预算,C. 直接告诉我哪里不满足，由我决定是否调整,满意,B. 比较希望,B. 可以记录，但需要每个人自己填写或确认后才能使用,周末想约朋友吃饭方便了外卖软件和美食推荐对比的口味距离和人均选了快一个小时还没定下来吃什么,已工作,27-30 岁/30 岁以上 + 专科/本科生/研究生，按学历回答推断为已工作
oBow4oDKPW6,2026-05-08 15:56:06,2026-05-08 16:02:41,395,数据集市,吉林省,松原市,MOBILE,Android,Chrome,正常,A. 专科,27-30 岁,"A.每天高强度使用,工作/学习深度依赖 AI(比如用 AI 写代码、写文档、做研究)",B. 每周 3-5 次,A. 一个人吃什么/点什么外卖,A. 偶尔纠结，但通常能较快决定,D. 不会主动找，但如果嵌在美团、微信等常用 App 里，会顺手使用,C. 两者都可以，但主动提醒不能太频繁,B. 每周 1-2 次,B. 有时,A. 尝试用 AI 生成折中方案，看效果再决定是否继续用,B. 给 2-3 个方案，让大家选,B. 比较希望，但简单说明即可,是否超预算,是否有人的需求被明显牺牲,C. 直接告诉我哪里不满足，由我决定是否调整,满意,B. 比较希望,C. 可以记录，但我希望能随时查看、修改或删除,约饭场景：上周和朋友约周末聚餐，在多个 App 里反复对比口味、预算和距离，纠结了 2 小时还没定下来，最后大家都累得不想出门了。吃饭场景：昨天中午点外卖，翻了几十家店看评价、比满减，选了 40 分钟才下单，吃完还觉得没选对，特别疲惫。周末规划场景：上周末想带家人去 citywalk，查了景点、路线、天气和餐厅，信息太杂越看越乱，最后干脆在家躺了一天。,已工作,27-30 岁/30 岁以上 + 专科/本科生/研究生，按学历回答推断为已工作
mnGXgdgjW4z,2026-05-08 15:54:49,2026-05-08 16:02:17,448,数据集市,黑龙江省,哈尔滨市,MOBILE,Android,Chrome,正常,C. 研究生,30 岁以上,"A.每天高强度使用,工作/学习深度依赖 AI(比如用 AI 写代码、写文档、做研究)",B. 每周 3-5 次,B. 和朋友约饭 / 聚会地点,B. 需要比较多个 App 或问朋友后才能决定,A. 会主动尝试，即使需要花时间适应新工具,C. 两者都可以，但主动提醒不能太频繁,B. 每周 1-2 次,B. 有时,A. 尝试用 AI 生成折中方案，看效果再决定是否继续用,C. 先指出大家的冲突，再给折中方案,A. 非常希望，这能帮助大家理解和达成共识,是否太远,是否超预算,A. 自动重新生成更符合条件的方案,满意,A. 非常希望,C. 可以记录，但我希望能随时查看、修改或删除,约个朋友吃饭，来回改了好几次时间和地点。,已工作,27-30 岁/30 岁以上 + 专科/本科生/研究生，按学历回答推断为已工作
oBow4mnKVo4,2026-05-08 15:54:14,2026-05-08 16:01:46,452,数据集市,吉林省,四平市,MOBILE,Android,Chrome,正常,B. 本科生,30 岁以上,"A.每天高强度使用,工作/学习深度依赖 AI(比如用 AI 写代码、写文档、做研究)",B. 每周 3-5 次,B. 和朋友约饭 / 聚会地点,B. 需要比较多个 App 或问朋友后才能决定,A. 会主动尝试，即使需要花时间适应新工具,A. 我问它，它再回答,A. 每周 3 次及以上,B. 有时,A. 尝试用 AI 生成折中方案，看效果再决定是否继续用,C. 先指出大家的冲突，再给折中方案,B. 比较希望，但简单说明即可,是否营业,是否排队太久,B. 主动追问缺失信息后再修改,满意,B. 比较希望,C. 可以记录，但我希望能随时查看、修改或删除,就是五一小假期和几个朋友想出去露营 然后呢选了很多地方 然后每个人的意见也都不同 很难抉择 很令人头疼,已工作,27-30 岁/30 岁以上 + 专科/本科生/研究生，按学历回答推断为已工作
vN623k9dOkx,2026-05-08 15:54:20,2026-05-08 16:01:42,442,数据集市,河北省,廊坊市,MOBILE,Android,Chrome,正常,F. 已工作 3 年以上,30 岁以上,"A.每天高强度使用,工作/学习深度依赖 AI(比如用 AI 写代码、写文档、做研究)",A. 几乎每天使用,A. 一个人吃什么/点什么外卖,C. 经常拖很久也决定不了,B. 看到后会试试，但如果不好用会很快放弃,B. 它可以在合适时间主动提醒我,B. 每周 1-2 次,B. 有时,A. 尝试用 AI 生成折中方案，看效果再决定是否继续用,B. 给 2-3 个方案，让大家选,B. 比较希望，但简单说明即可,是否营业,是否排队太久,A. 自动重新生成更符合条件的方案,满意,A. 非常希望,A. 可以记录我和朋友 / 同事的偏好，只要能提高决策效率,规划五一野炊全家八个人找不到都一至通过的景点，花费两个小时还没做决定,已工作,明确选择已工作 1-3 年/3 年以上
XO2Kdr4ZOjj,2026-05-08 15:54:01,2026-05-08 16:01:40,459,数据集市,河北省,沧州市,MOBILE,Android,Chrome,正常,B. 本科生,30 岁以上,C.每周使用几次，有需要时才用,C. 每周 1-2 次,B. 和朋友约饭 / 聚会地点,A. 偶尔纠结，但通常能较快决定,B. 看到后会试试，但如果不好用会很快放弃,C. 两者都可以，但主动提醒不能太频繁,B. 每周 1-2 次,B. 有时,B. 继续在群里讨论，由大家慢慢决定,B. 给 2-3 个方案，让大家选,B. 比较希望，但简单说明即可,是否超预算,是否排队太久,A. 自动重新生成更符合条件的方案,满意,B. 比较希望,C. 可以记录，但我希望能随时查看、修改或删除,上周的时候我们打算去野餐，但是定了好久也没有决定去哪里，然后他们说让我在做做攻略，我觉得很累看了好久攻略又问了我的朋友最后才决定去哪。,已工作,27-30 岁/30 岁以上 + 专科/本科生/研究生，按学历回答推断为已工作
oBow4N4Jj2d,2026-05-08 15:54:15,2026-05-08 16:01:37,442,数据集市,云南省,玉溪市,MOBILE,Android,Chrome,正常,B. 本科生,23-26 岁,C.每周使用几次，有需要时才用,A. 几乎每天使用,B. 和朋友约饭 / 聚会地点,B. 需要比较多个 App 或问朋友后才能决定,B. 看到后会试试，但如果不好用会很快放弃,C. 两者都可以，但主动提醒不能太频繁,C. 每月 1-3 次,B. 有时,B. 继续在群里讨论，由大家慢慢决定,B. 给 2-3 个方案，让大家选,C. 无所谓，有没有都可以,是否营业,是否太远,C. 直接告诉我哪里不满足，由我决定是否调整,满意,B. 比较希望,C. 可以记录，但我希望能随时查看、修改或删除,五一和朋友约饭前的空闲时间决定去找个娱乐场所消遣时间，但因为假期缘故很多地方都没有空位，反复预订最后还是取消了,边界模糊-剔除,23-26 岁 + 专科/本科生
nNV32pDvE2R,2026-05-08 15:54:57,2026-05-08 16:01:12,375,数据集市,黑龙江省,哈尔滨市,MOBILE,Android,Chrome,正常,B. 本科生,30 岁以上,"A.每天高强度使用,工作/学习深度依赖 AI(比如用 AI 写代码、写文档、做研究)",B. 每周 3-5 次,D. 怎么安排本地路线 / 活动顺序,A. 偶尔纠结，但通常能较快决定,A. 会主动尝试，即使需要花时间适应新工具,C. 两者都可以，但主动提醒不能太频繁,B. 每周 1-2 次,B. 有时,A. 尝试用 AI 生成折中方案，看效果再决定是否继续用,C. 先指出大家的冲突，再给折中方案,A. 非常希望，这能帮助大家理解和达成共识,是否有人的需求被明显牺牲,是否营业,A. 自动重新生成更符合条件的方案,满意,A. 非常希望,C. 可以记录，但我希望能随时查看、修改或删除,选聚餐地点，翻了半小时外卖软件都还没有定下来。很心累。,已工作,27-30 岁/30 岁以上 + 专科/本科生/研究生，按学历回答推断为已工作
NRYKrKblxqJ,2026-05-08 15:54:48,2026-05-08 16:01:01,373,数据集市,广东省,广州市,MOBILE,Android,Chrome,正常,D.博士生,30 岁以上,"B.每天日常使用,主要用来聊天、查资料、问问题",B. 每周 3-5 次,B. 和朋友约饭 / 聚会地点,B. 需要比较多个 App 或问朋友后才能决定,A. 会主动尝试，即使需要花时间适应新工具,B. 它可以在合适时间主动提醒我,C. 每月 1-3 次,B. 有时,A. 尝试用 AI 生成折中方案，看效果再决定是否继续用,B. 给 2-3 个方案，让大家选,B. 比较希望，但简单说明即可,是否排队太久,是否超预算,C. 直接告诉我哪里不满足，由我决定是否调整,满意,B. 比较希望,A. 可以记录我和朋友 / 同事的偏好，只要能提高决策效率,我约人一起吃饭，但是他们有的不吃辣，有的不吃鸡肉牛肉，就需要提前了解餐厅的菜品，避免有的人吃不了，需要协调看哪个餐厅好就会很累。,边界模糊-剔除,30 岁以上 + 博士生
bNxK6KwayPN,2026-05-08 15:54:08,2026-05-08 16:01:06,418,数据集市,河南省,驻马店市,MOBILE,Android,Chrome,正常,F. 已工作 3 年以上,30 岁以上,"B.每天日常使用,主要用来聊天、查资料、问问题",A. 几乎每天使用,C. 周末去哪玩 / citywalk / 看展,A. 偶尔纠结，但通常能较快决定,A. 会主动尝试，即使需要花时间适应新工具,C. 两者都可以，但主动提醒不能太频繁,C. 每月 1-3 次,C. 很少,A. 尝试用 AI 生成折中方案，看效果再决定是否继续用,A. 直接给一个最优方案,B. 比较希望，但简单说明即可,是否有人的需求被明显牺牲,是否太远,C. 直接告诉我哪里不满足，由我决定是否调整,满意,B. 比较希望,C. 可以记录，但我希望能随时查看、修改或删除,周末和朋友一家一起聚餐，找餐厅，吃什么，纠结了几个小时。,已工作,明确选择已工作 1-3 年/3 年以上
WPgK4K0Bpzr,2026-05-08 15:53:58,2026-05-08 16:01:05,427,数据集市,四川省,自贡市,MOBILE,Android,Chrome,正常,B. 本科生,23-26 岁,"B.每天日常使用,主要用来聊天、查资料、问问题",C. 每周 1-2 次,A. 一个人吃什么/点什么外卖,B. 需要比较多个 App 或问朋友后才能决定,B. 看到后会试试，但如果不好用会很快放弃,C. 两者都可以，但主动提醒不能太频繁,C. 每月 1-3 次,B. 有时,A. 尝试用 AI 生成折中方案，看效果再决定是否继续用,B. 给 2-3 个方案，让大家选,D. 不太希望，觉得解释太多会麻烦,是否营业,是否太远,B. 主动追问缺失信息后再修改,满意,A. 非常希望,C. 可以记录，但我希望能随时查看、修改或删除,我选好了餐厅，也考虑了别人的口味，但是对方突然临时改口，我只能放弃规划迁就他,边界模糊-剔除,23-26 岁 + 专科/本科生
XO2Kd884dDj,2026-05-08 15:54:22,2026-05-08 16:00:59,397,数据集市,辽宁省,葫芦岛市,MOBILE,Android,Chrome,正常,B. 本科生,27-30 岁,"B.每天日常使用,主要用来聊天、查资料、问问题",A. 几乎每天使用,A. 一个人吃什么/点什么外卖,A. 偶尔纠结，但通常能较快决定,B. 看到后会试试，但如果不好用会很快放弃,C. 两者都可以，但主动提醒不能太频繁,C. 每月 1-3 次,B. 有时,A. 尝试用 AI 生成折中方案，看效果再决定是否继续用,B. 给 2-3 个方案，让大家选,A. 非常希望，这能帮助大家理解和达成共识,是否排队太久,是否营业,B. 主动追问缺失信息后再修改,满意,B. 比较希望,D. 只希望记录我自己的偏好，不希望记录他人的偏好,做选择很犹豫也不好问大家吃什么,已工作,27-30 岁/30 岁以上 + 专科/本科生/研究生，按学历回答推断为已工作
oBow46VqB2n,2026-05-08 15:54:46,2026-05-08 16:00:52,366,数据集市,广西壮族自治区,南宁市,MOBILE,Android,Chrome,正常,C. 研究生,23-26 岁,"A.每天高强度使用,工作/学习深度依赖 AI(比如用 AI 写代码、写文档、做研究)",A. 几乎每天使用,A. 一个人吃什么/点什么外卖,B. 需要比较多个 App 或问朋友后才能决定,D. 不会主动找，但如果嵌在美团、微信等常用 App 里，会顺手使用,A. 我问它，它再回答,B. 每周 1-2 次,A. 经常,A. 尝试用 AI 生成折中方案，看效果再决定是否继续用,B. 给 2-3 个方案，让大家选,B. 比较希望，但简单说明即可,是否超预算,是否太远,A. 自动重新生成更符合条件的方案,满意,A. 非常希望,A. 可以记录我和朋友 / 同事的偏好，只要能提高决策效率,最近一个人吃晚饭时，在App上翻遍了外卖和餐厅，对比了半小时还是没决定吃什么，感觉特别累。,在校,23-26 岁 + 研究生/博士生
NRYKrVxklgg,2026-05-08 15:55:01,2026-05-08 16:00:47,346,数据集市,陕西省,渭南市,MOBILE,iOS,Apple WebKit,正常,C. 研究生,30 岁以上,"B.每天日常使用,主要用来聊天、查资料、问问题",B. 每周 3-5 次,C. 周末去哪玩 / citywalk / 看展,A. 偶尔纠结，但通常能较快决定,A. 会主动尝试，即使需要花时间适应新工具,B. 它可以在合适时间主动提醒我,B. 每周 1-2 次,B. 有时,A. 尝试用 AI 生成折中方案，看效果再决定是否继续用,B. 给 2-3 个方案，让大家选,B. 比较希望，但简单说明即可,是否有人的需求被明显牺牲,是否超预算,B. 主动追问缺失信息后再修改,满意,B. 比较希望,C. 可以记录，但我希望能随时查看、修改或删除,五一期间做抉择挺难的。各抒己见的不知道怎么选择才能满足所有人的想法和需求。,已工作,27-30 岁/30 岁以上 + 专科/本科生/研究生，按学历回答推断为已工作
mnGXgyNOqmg,2026-05-08 15:54:08,2026-05-08 16:00:43,395,数据集市,河北省,石家庄市,MOBILE,Android,Chrome,正常,E. 已工作 1-3 年,23-26 岁,"A.每天高强度使用,工作/学习深度依赖 AI(比如用 AI 写代码、写文档、做研究)",A. 几乎每天使用,A. 一个人吃什么/点什么外卖,A. 偶尔纠结，但通常能较快决定,B. 看到后会试试，但如果不好用会很快放弃,C. 两者都可以，但主动提醒不能太频繁,C. 每月 1-3 次,C. 很少,B. 继续在群里讨论，由大家慢慢决定,A. 直接给一个最优方案,B. 比较希望，但简单说明即可,是否有人的需求被明显牺牲,是否太远,B. 主动追问缺失信息后再修改,满意,B. 比较希望,A. 可以记录我和朋友 / 同事的偏好，只要能提高决策效率,周末返程路线规划，等车太久，如果ai知道哪个站，哪个时间段人少就好了,已工作,明确选择已工作 1-3 年/3 年以上
WPgK4q11EX0,2026-05-08 15:54:08,2026-05-08 16:00:41,393,数据集市,重庆市,市辖区,MOBILE,Android,Chrome,正常,B. 本科生,18-22 岁,"A.每天高强度使用,工作/学习深度依赖 AI(比如用 AI 写代码、写文档、做研究)",B. 每周 3-5 次,B. 和朋友约饭 / 聚会地点,A. 偶尔纠结，但通常能较快决定,A. 会主动尝试，即使需要花时间适应新工具,C. 两者都可以，但主动提醒不能太频繁,C. 每月 1-3 次,A. 经常,B. 继续在群里讨论，由大家慢慢决定,B. 给 2-3 个方案，让大家选,A. 非常希望，这能帮助大家理解和达成共识,是否超预算,是否排队太久,B. 主动追问缺失信息后再修改,满意,A. 非常希望,C. 可以记录，但我希望能随时查看、修改或删除,同学之间团聚不知道吃什么，多个人无法做到意见统一,在校,18-22 岁 + 专科/本科生
XO2KdgXrY3d,2026-05-08 15:54:07,2026-05-08 16:00:41,394,数据集市,北京市,市辖区,MOBILE,Android,Chrome,正常,B. 本科生,23-26 岁,"A.每天高强度使用,工作/学习深度依赖 AI(比如用 AI 写代码、写文档、做研究)",A. 几乎每天使用,A. 一个人吃什么/点什么外卖,A. 偶尔纠结，但通常能较快决定,D. 不会主动找，但如果嵌在美团、微信等常用 App 里，会顺手使用,C. 两者都可以，但主动提醒不能太频繁,A. 每周 3 次及以上,B. 有时,A. 尝试用 AI 生成折中方案，看效果再决定是否继续用,C. 先指出大家的冲突，再给折中方案,B. 比较希望，但简单说明即可,是否有人的需求被明显牺牲,是否排队太久,C. 直接告诉我哪里不满足，由我决定是否调整,满意,D. 不太希望,C. 可以记录，但我希望能随时查看、修改或删除,在景区游玩，出来的时候最后一班观光车已经下班了，和朋友讨论该如何回酒店这件事，产生了比较大的分歧。,边界模糊-剔除,23-26 岁 + 专科/本科生
nNV32XvG1Ga,2026-05-08 15:54:15,2026-05-08 16:00:36,381,数据集市,江西省,南昌市,MOBILE,Android,Chrome,正常,B. 本科生,23-26 岁,"B.每天日常使用,主要用来聊天、查资料、问问题",B. 每周 3-5 次,D. 怎么安排本地路线 / 活动顺序,B. 需要比较多个 App 或问朋友后才能决定,B. 看到后会试试，但如果不好用会很快放弃,B. 它可以在合适时间主动提醒我,C. 每月 1-3 次,B. 有时,A. 尝试用 AI 生成折中方案，看效果再决定是否继续用,B. 给 2-3 个方案，让大家选,A. 非常希望，这能帮助大家理解和达成共识,是否超预算,是否排队太久,A. 自动重新生成更符合条件的方案,满意,B. 比较希望,A. 可以记录我和朋友 / 同事的偏好，只要能提高决策效率,周末和朋友聚餐，翻遍各种平台的餐厅推荐，对比口味、距离、人均预算来回沟通，一晚上都还没有确定下来环节跟吃什么,边界模糊-剔除,23-26 岁 + 专科/本科生
